strategy,max_score,find_max,params
Random,6144.172837757198,434.1045855730517,"(0.1,)"
SGD,10745.777951460042,446.39054872010513,"(10, 0.001)"
SGD,10720.89887608725,446.39054872010513,"(10, 0.1)"
SGD,6282.594689214007,438.14871510895676,"(10, 1.0)"
SGD,5971.91339613288,435.23079886153175,"(10, 10)"
SGD,10781.458436099607,446.39054872010513,"(100, 0.001)"
SGD,10727.707347331247,446.39054872010513,"(100, 0.1)"
SGD,6286.997159341702,440.7082907645929,"(100, 1.0)"
SGD,6194.442903633898,434.9748412959681,"(100, 10)"
SGD,10733.952711931,446.39054872010513,"(500, 0.001)"
SGD,10716.6499804989,446.39054872010513,"(500, 0.1)"
SGD,6238.109264319049,440.34995017280386,"(500, 1.0)"
SGD,6126.358191193972,434.5653091910662,"(500, 10)"
SGD,10790.058610302543,446.39054872010513,"(1000, 0.001)"
SGD,10720.335769443016,446.39054872010513,"(1000, 0.1)"
SGD,6213.9468701298465,440.40114168591657,"(1000, 1.0)"
SGD,6129.992788624975,434.6676922172917,"(1000, 10)"
Explore,6180.87715265902,444.1381221431453,"(0.001,)"
Explore,6185.996303970298,435.0260328090808,"(0.1,)"
Explore,6140.384665786857,430.5211796551611,"(1.0,)"
Explore,6008.003412877351,433.848628007488,"(10,)"
Exploit,7337.49819992793,313.2926146270211,"(0.001,)"
Exploit,10714.807086026842,446.39054872010513,"(0.1,)"
Exploit,10713.424915172794,446.39054872010513,"(1.0,)"
Exploit,10579.354342330571,446.39054872010513,"(10,)"
Phase,10742.399311594596,446.39054872010513,"(2, 0.001)"
Phase,10719.260747667644,446.39054872010513,"(2, 0.1)"
Phase,10731.853859893377,446.39054872010513,"(2, 1.0)"
Phase,10603.158395927989,446.39054872010513,"(2, 10)"
Phase,10523.657976063923,446.39054872010513,"(3, 0.001)"
Phase,10536.04632223721,446.39054872010513,"(3, 0.1)"
Phase,10585.190174825415,446.39054872010513,"(3, 1.0)"
Phase,10373.052544486285,446.39054872010513,"(3, 10)"
Phase,10367.16552047833,446.39054872010513,"(4, 0.001)"
Phase,10365.629775084944,446.39054872010513,"(4, 0.1)"
Phase,10325.29086275212,446.39054872010513,"(4, 1.0)"
Phase,10162.706617106096,446.39054872010513,"(4, 10)"
Phase,10140.07996831028,446.39054872010513,"(5, 0.001)"
Phase,10160.914914147157,446.39054872010513,"(5, 0.1)"
Phase,10144.226480872403,446.39054872010513,"(5, 1.0)"
Phase,9976.47189240201,446.39054872010513,"(5, 10)"
Phase,9966.13120675324,446.39054872010513,"(6, 0.001)"
Phase,9908.69432904076,446.39054872010513,"(6, 0.1)"
Phase,9933.573404413546,446.39054872010513,"(6, 1.0)"
Phase,9786.500187240685,446.39054872010513,"(6, 10)"
Phase,9694.048314559106,446.39054872010513,"(7, 0.001)"
Phase,9755.068598189473,446.39054872010513,"(7, 0.1)"
Phase,9761.160388249888,446.39054872010513,"(7, 1.0)"
Phase,9619.206322388301,446.39054872010513,"(7, 10)"
Phase,9522.659128657702,446.39054872010513,"(8, 0.001)"
Phase,9531.36168588687,446.39054872010513,"(8, 0.1)"
Phase,9542.214286666765,446.39054872010513,"(8, 1.0)"
Phase,9407.119883562285,446.39054872010513,"(8, 10)"
Phase,9392.479110812044,446.39054872010513,"(9, 0.001)"
Phase,9348.0448774302,446.39054872010513,"(9, 0.1)"
Phase,9384.442043253348,446.39054872010513,"(9, 1.0)"
Phase,9280.062548016498,446.39054872010513,"(9, 10)"
Phase,9114.96991822796,446.39054872010513,"(10, 0.001)"
Phase,9055.178230912303,446.39054872010513,"(10, 0.1)"
Phase,9196.876339208324,446.39054872010513,"(10, 1.0)"
Phase,8971.68487302545,446.39054872010513,"(10, 10)"
Phase,8940.816390618476,446.39054872010513,"(11, 0.001)"
Phase,8876.519850148892,446.39054872010513,"(11, 0.1)"
Phase,8928.47923595831,446.39054872010513,"(11, 1.0)"
Phase,8855.838478851347,446.39054872010513,"(11, 10)"
Phase,8698.578150569057,446.39054872010513,"(12, 0.001)"
Phase,8769.171247151507,446.39054872010513,"(12, 0.1)"
Phase,8698.680533595281,446.39054872010513,"(12, 1.0)"
Phase,8571.418431997045,446.39054872010513,"(12, 10)"
Phase,8544.389313073532,446.39054872010513,"(13, 0.001)"
Phase,8521.455515199028,446.39054872010513,"(13, 0.1)"
Phase,8552.272806092891,446.39054872010513,"(13, 1.0)"
Phase,8444.361096451266,446.39054872010513,"(13, 10)"
Phase,8302.918945720805,446.39054872010513,"(14, 0.001)"
Phase,8321.245507415166,446.39054872010513,"(14, 0.1)"
Phase,8265.293183582953,446.39054872010513,"(14, 1.0)"
Phase,8164.138753672212,446.39054872010513,"(14, 10)"
Phase,8178.779526422448,446.39054872010513,"(15, 0.001)"
Phase,8153.08138683986,446.39054872010513,"(15, 0.1)"
Phase,8109.466217667821,446.39054872010513,"(15, 1.0)"
Phase,8064.008154023718,446.39054872010513,"(15, 10)"
Phase,7875.776960308227,446.39054872010513,"(16, 0.001)"
Phase,7837.639283039251,446.39054872010513,"(16, 0.1)"
Phase,7856.528951377843,446.39054872010513,"(16, 1.0)"
Phase,7908.129996595471,446.3393572069924,"(16, 10)"
Phase,7740.938514769314,446.39054872010513,"(17, 0.001)"
Phase,7678.843209363577,446.39054872010513,"(17, 0.1)"
Phase,7623.0444600707115,446.39054872010513,"(17, 1.0)"
Phase,7714.728460055602,446.23697418076694,"(17, 10)"
Phase,7489.332227820271,446.39054872010513,"(18, 0.001)"
Phase,7488.922695715366,446.39054872010513,"(18, 0.1)"
Phase,7504.075383596736,446.39054872010513,"(18, 1.0)"
Phase,7502.642021229578,446.236974180767,"(18, 10)"
Phase,7286.665027406994,446.39054872010513,"(19, 0.001)"
Phase,7347.429353471795,446.39054872010513,"(19, 0.1)"
Phase,7267.928933607735,446.39054872010513,"(19, 1.0)"
Phase,7226.463807986429,446.28816569387965,"(19, 10)"
Phase,7204.195499782397,446.39054872010513,"(20, 0.001)"
Phase,7177.729487503113,446.39054872010513,"(20, 0.1)"
Phase,7118.910438936595,446.39054872010513,"(20, 1.0)"
Phase,7047.907810249246,445.9810166152033,"(20, 10)"
Phase,6862.338575215616,446.39054872010513,"(21, 0.001)"
Phase,6959.397684077338,446.39054872010513,"(21, 0.1)"
Phase,6826.4021330104815,446.39054872010513,"(21, 1.0)"
Phase,6911.072895698931,445.8786335889779,"(21, 10)"
Phase,6667.0941442036865,446.39054872010513,"(22, 0.001)"
Phase,6658.903502105645,446.39054872010513,"(22, 0.1)"
Phase,6661.002354143274,446.39054872010513,"(22, 1.0)"
Phase,6700.317436213841,445.5714845103016,"(22, 10)"
Phase,6483.879718773242,446.39054872010513,"(23, 0.001)"
Phase,6547.920301677263,446.39054872010513,"(23, 0.1)"
Phase,6532.102124125427,446.39054872010513,"(23, 1.0)"
Phase,6487.002401073119,444.24050516937086,"(23, 10)"
Phase,6368.954771835173,446.39054872010513,"(24, 0.001)"
Phase,6281.519667438636,446.39054872010513,"(24, 0.1)"
Phase,6324.366963913995,446.39054872010513,"(24, 1.0)"
Phase,6425.521393824736,442.39761069731287,"(24, 10)"
UCB,7041.96959472817,302.2352477946725,"(0.1, 0.001)"
UCB,10736.205138507956,446.39054872010513,"(0.1, 0.1)"
UCB,10739.942118965182,446.39054872010513,"(0.1, 1.0)"
UCB,10602.953629875537,446.39054872010513,"(0.1, 10)"
UCB,7682.580189820807,331.5679848082639,"(1, 0.001)"
UCB,10774.240432750707,446.39054872010513,"(1, 0.1)"
UCB,10766.66408881003,446.39054872010513,"(1, 1.0)"
UCB,10595.838009552872,446.39054872010513,"(1, 10)"
UCB,8518.332832899154,364.0234041217313,"(10, 0.001)"
UCB,10768.76294084765,446.39054872010513,"(10, 0.1)"
UCB,10752.791188756475,446.39054872010513,"(10, 1.0)"
UCB,10546.028667294186,446.39054872010513,"(10, 10)"
UCB,10753.763827505623,446.39054872010513,"(100, 0.001)"
UCB,10754.019785071188,446.39054872010513,"(100, 0.1)"
UCB,10757.807957041532,446.39054872010513,"(100, 1.0)"
UCB,10588.312857125298,446.39054872010513,"(100, 10)"
